Name,HB116,HB122,HB128,HB129,HB13,HB145,HB151,HB156,HB167,HB172,HB177,HB206,HB23,HB231,HB236,HB241,HB244,HB252,HB253,HB257,HB261,HB272,HB277,HB281,HB282,HB291,HB296,HB301,HB305,HB307,HB308,HB309,HB310,HB315,HB319,HB323,HB33,HB330,HB333,HB347,HB359,HB360,HB372,HB375,HB376,HB377,HB387,HB388,HB394,HB396,HB401,HB404,HB408,HB417,HB425,HB443,HB448,HB454,HB469,HB481,HB482,HB484,HB492,HB515,HB516,HB522,HB524,HB525,HB539,HB58,HB60,HB75,HB78,HB95,HB96
Hoover,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay
Horlander,NV,NV,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,NV,Nay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,NV,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,NV,NV,Yay,Yay,Nay,NV,Yay,Nay,NV,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Nay,Yay,NV,Yay,Yay,NV
Imes,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Jenkins,Yay,Yay,Nay,NV,NV,Yay,Nay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Nay,Nay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,NV,Yay,Nay,Yay,Yay,NV,Yay,Yay,Nay,Yay,Nay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,NV,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay
Johnson D,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Johnson DJ,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Kay,Yay,Yay,NV,Yay,NV,Yay,Nay,Yay,Yay,Yay,Nay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,NV,Nay,Yay,Yay,Nay,Yay,Yay,Yay,NA,Yay,Yay,Yay,NV,Yay,Yay,Nay,Yay,Yay,Yay,NV,NV,Yay,NV,Nay,Yay,Yay,Nay,NV,Yay,Nay,NV,NV,Nay,Nay,Yay,Nay,Yay,Yay,Yay,Nay,Yay,NV,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV
Keene,Yay,Yay,NV,NV,NV,Yay,Nay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,NV,Nay,Yay,Yay,Nay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Nay,Yay,Yay,Nay,Yay,NA,Nay,NV,Yay,Nay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay
King,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Koenig,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay
Lee,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Nay,Yay,Yay,Yay,Yay,Yay,Yay
Linder,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,NV,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay,Yay
